                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3688,                 2.8876,                 1.3936,                0.74018,                0.24131,                0.27399,                0.17252,                 1.2368,                 1.5363,                 1.2864,             0.00033254,             0.00033254,             0.00033254
                      2,                 1.3085,                 1.7037,                 1.3392,                0.90918,                 0.2398,                0.28187,                0.17552,                 1.2863,                 1.3342,                 1.3405,             0.00059995,             0.00059995,             0.00059995
                      3,                 1.2795,                  1.353,                  1.316,                0.89325,                0.26508,                0.29854,                0.19488,                 1.2621,                 1.2365,                 1.3127,             0.00080137,             0.00080137,             0.00080137
                      4,                 1.2303,                 1.2128,                  1.283,                0.90656,                0.26042,                0.32825,                0.22819,                 1.1666,                 1.1735,                  1.277,               0.000703,               0.000703,               0.000703
                      5,                 1.1774,                 1.1159,                 1.2526,                0.92344,                0.26839,                0.34617,                0.23754,                 1.1173,                  1.039,                 1.2215,               0.000604,               0.000604,               0.000604
                      6,                   1.12,                 1.0477,                 1.2148,                0.74376,                0.34478,                0.32537,                0.23436,                 1.0738,                 1.0262,                  1.189,               0.000505,               0.000505,               0.000505
                      7,                 1.0925,                0.99345,                 1.1876,                0.58827,                0.40268,                0.33615,                0.23884,                 1.0674,                0.96897,                  1.185,               0.000406,               0.000406,               0.000406
                      8,                 1.0513,                0.93496,                 1.1693,                0.59882,                0.38866,                0.35473,                0.25843,                 1.0302,                0.90908,                 1.1719,               0.000307,               0.000307,               0.000307
                      9,                 1.0226,                0.88258,                  1.148,                0.62157,                0.41735,                0.36692,                  0.272,                0.99599,                0.82791,                 1.1433,               0.000208,               0.000208,               0.000208
                     10,                 0.9854,                0.84315,                 1.1296,                  0.642,                 0.4514,                0.37249,                0.27616,                0.98814,                0.80445,                 1.1332,               0.000109,               0.000109,               0.000109
